127.0.0.1 - - [22/Apr/2016:00:01:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:35 +0530] "GET /ManageUser/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=BA3DE4623C1B52556BF5632B01E098B7?ln=primefaces&v=5.2 HTTP/1.1" 200 240240
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:35 +0530] "GET /ManageUser/faces/javax.faces.resource/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png?ln=primefaces-cupertino HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:35 +0530] "GET /ManageUser/faces/javax.faces.resource/images/ui-icons_72a7cf_256x240.png?ln=primefaces-cupertino HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:35 +0530] "GET /ManageUser/faces/javax.faces.resource/images/ui-bg_highlight-soft_100_deedf7_1x100.png?ln=primefaces-cupertino HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:35 +0530] "GET /ManageUser/faces/javax.faces.resource/images/ui-bg_highlight-soft_25_ffef8f_1x100.png?ln=primefaces-cupertino HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:35 +0530] "GET /ManageUser/faces/javax.faces.resource/images/ui-bg_glass_80_d7ebf9_1x400.png?ln=primefaces-cupertino HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:36 +0530] "GET /ManageUser/faces/javax.faces.resource/images/ui-bg_glass_100_e4f1fb_1x400.png?ln=primefaces-cupertino HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:37 +0530] "GET /ManageUser/faces/login.xhtml;jsessionid=BA3DE4623C1B52556BF5632B01E098B7 HTTP/1.1" 200 9997
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:37 +0530] "GET /ManageUser/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.2 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:37 +0530] "GET /ManageUser/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.2 HTTP/1.1" 200 108195
